,name,year,score,consensus,staring,director
14,Top Gun,1986,56%,"Though it features some of the most memorable and electrifying aereial footage shot with an expert eye for action, Top Gun offers too little for non-adolescent viewers to chew on when its characters aren't in the air.","Tom Cruise,Kelly McGillis,Anthony Edwards,Val Kilmer",Tony Scott
15,Con Air,1997,56%,"Con Air won't win any awards for believability - and all involved seem cheerfully aware of it, making some of this blockbuster action outing's biggest flaws fairly easy to forgive.","Nicolas Cage,John Cusack,John Malkovich,Steve Buscemi",Simon West
16,The Expendables 2,2012,67%,"Taut, violent, and suitably self-deprecating, The Expendables 2 gives classic action fans everything they can reasonably expect from a star-studded shoot-'em-up -- for better and for worse.","Sylvester Stallone,Jason Statham,Jet Li,Dolph Lundgren",Simon West
17,The Mummy,1999,61%,"It's difficult to make a persuasive argument for The Mummy as any kind of meaningful cinematic achievement, but it's undeniably fun to watch.","Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo",Stephen Sommers
18,Mr. & Mrs. Smith,2005,60%,"Although this action-romance suffers from weak writing and one too many explosions, the chemistry generated by onscreen couple Pitt and Jolie is palpable enough to make this a thoroughly enjoyable summer action flick.","Brad Pitt,Angelina Jolie,Vince Vaughn,Adam Brody",Doug Liman
19,Rush Hour,1998,61%,A kick-ass addition to the cop-buddy film genre.,"Jackie Chan,Chris Tucker,Elizabeth Peña,Tom Wilkinson",Brett Ratner
20,The Equalizer,2014,60%,"The Equalizer is more stylishly violent than meaningful, but with Antoine Fuqua behind the cameras and Denzel Washington dispensing justice, it delivers.","Denzel Washington,Marton Csokas,Chloë Grace Moretz ,David Harbour",Antoine Fuqua
21,Captain America: Civil War,2016,90%,Captain America: Civil War begins the next wave of Marvel movies with an action-packed superhero blockbuster boasting a decidedly non-cartoonish plot and the courage to explore thought-provoking themes.,"Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan",Anthony Russo
22,Air Force One,1997,78%,"This late-period Harrison Ford actioner is full of palpable, if not entirely seamless, thrills.","Gary Oldman,Harrison Ford,Glenn Close,Wendy Crewson",Wolfgang Petersen
23,Bloodsport,1988,40%,"This is where it all began for the Muscles from Brussels, but beyond Van Damme's athleticism, Bloodsport is a cliched, virtually plotless exercise in action movie recycling.","Jean-Claude Van Damme,Leah Ayres,Donald Gibb,Norman Burton",Newt Arnold
24,Blade,1998,55%,"Though some may find the plot a bit lacking, Blade's action is fierce, plentiful, and appropriately stylish for a comic book adaptation.","Wesley Snipes,Stephen Dorff,Kris Kristofferson,N'Bushe Wright",Stephen Norrington
25,Bad Boys,1995,42%,"Bad Boys stars Will Smith and Martin Lawrence have enjoyable chemistry; unfortunately, director Michael Bay too often drowns it out with set pieces and explosions in place of an actual story.","Martin Lawrence,Will Smith,Téa Leoni,Tcheky Karyo",Michael Bay
26,Die Hard: With a Vengeance,1995,59%,"Die Hard with a Vengeance benefits from Bruce Willis and Samuel L. Jackson's barbed interplay, but clatters to a bombastic finish in a vain effort to cover for an overall lack of fresh ideas.","Bruce Willis,Jeremy Irons,Samuel L. Jackson,Graham Greene (II)",John McTiernan
27,The Running Man,1987,64%,The Running Man is winking sci-fi satire with ridiculous clothes and workmanlike direction.,"Arnold Schwarzenegger,Maria Conchita Alonso,Yaphet Kotto,Richard Dawson",Paul Michael Glaser
28,Code of Silence,1985,68%,No consensus yet.,"Chuck Norris,Henry Silva,Bert Remsen,Mike Genovese",Andrew Davis
29,Shoot 'Em Up,2007,67%,"As preposterous and over-the-top as Shoot 'Em Up may be, its humor and non-stop action make for a very enjoyable film.","Clive Owen,Paul Giamatti,Monica Bellucci,Stephen McHattie",Michael Davis
30,Crank,2006,61%,"Crank's assaultive style and gleeful depravity may turn off casual action fans, but audiences seeking a strong dose of adrenaline will be thrilled by Jason Statham's raucous race against mortality.","Jason Statham,Amy Smart,Efren Ramirez,Jose Pablo Cantillo",Mark Neveldine
31,Machete,2010,72%,"Machete is messy, violent, shallow, and tasteless -- and that's precisely the point of one of the summer's most cartoonishly enjoyable films.","Danny Trejo,Robert De Niro,Jessica Alba,Cheech Marin",Ethan Maniquis
32,Drive,2011,92%,"With its hyper-stylized blend of violence, music, and striking imagery, Drive represents a fully realized vision of arthouse action.","Ryan Gosling,Carey Mulligan,Albert Brooks,Bryan Cranston",Nicolas Winding Refn
33,Batman,1989,71%,"An eerie, haunting spectacle, Batman succeeds as dark entertainment, even if Jack Nicholson's Joker too often overshadows the title character.","Michael Keaton,Jack Nicholson,Kim Basinger,Robert Wuhl",Tim Burton
