,name,year,score,consensus,staring,director
63,Beverly Hills Cop,1984,83%,"The buddy cop movie continues its evolution unabated with this Eddie Murphy vehicle that's fast, furious, and funny.","Eddie Murphy,Judge Reinhold,John Ashton,Lisa Eilbacher",Martin Brest
64,Ong-Bak (Ong Bak: Muay Thai Warrior),2005,85%,"While Ong-Bak: The Thai Warrior may be no great shakes as a movie, critics are hailing the emergence of a new star in Tony Jaa, whose athletic performance is drawing comparisons with Bruce Lee, Jackie Chan, and Jet Li.","Tony Jaa,Petchtai Wongkamlao,Petchthai Wongkamlao,Pumwaree Yodkamol",Prachya Pinkaew
65,Collateral,2004,86%,"Driven by director Michael Mann's trademark visuals and a lean, villainous performance from Tom Cruise, Collateral is a stylish and compelling noir thriller.","Tom Cruise,Jamie Foxx,Mark Ruffalo,Jada Pinkett Smith",Michael Mann
66,Iron Monkey,2001,91%,"Iron Monkey may not have the poetic lyricism of Crouching Tiger, it makes up for it in fun and energy.","Rongguang Yu,Donnie Yen,Jean Wang,Tsang Sze-Man",Woo-ping Yuen
67,Escape from New York,1981,86%,"Featuring an atmospherically grimy futuristic metropolis, Escape from New York is a strange, entertaining jumble of thrilling action and oddball weirdness.","Kurt Russell,Lee Van Cleef,Ernest Borgnine,Donald Pleasence",John Carpenter
68,Battle Royale,2000,88%,"Battle Royale is a controversial and violent parable of adolescence, heightening teenage melodrama with life-or-death stakes.","Aki Maeda,Ai Iwamura,Chiaki Kuriyama,Tatsuya Fujiwara",Kinji Fukasaku
69,Spider-Man 2,2004,93%,"Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original.","Tobey Maguire,Kirsten Dunst,James Franco,Alfred Molina",Sam Raimi
70,13 Assassins,2011,95%,"Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache.","Koji Yakusho,Takayuki Yamada,Yusuke Iseya,Goro Inagaki",Takashi Miike
71,Full Contact,1992,88%,No consensus yet.,"Yun-Fat Chow,Simon Yam,Ann Bridgewater,Anthony Wong",Ringo Lam
72,Indiana Jones and the Last Crusade,1989,88%,"Lighter and more comedic than its predecessor, Indiana Jones and the Last Crusade returns the series to the brisk serial adventure of Raiders, while adding a dynamite double act between Harrison Ford and Sean Connery.","Harrison Ford,Sean Connery,Alison Doody,Denholm Elliott",Steven Spielberg
73,Kung Fu Hustle,2005,91%,"Kung Fu Hustle blends special effects, martial arts, and the Looney Toons to hilarious effect.","Stephen Chow,Wah Yuen,Shengyi Huang,Kwok-Kwan Chan",Stephen Chow
74,A Better Tomorrow,2010,93%,No consensus yet.,"Yun-Fat Chow,Leslie Cheung,Lung Ti,Young Pao I",Hae-sung Song
75,Iron Man,2008,94%,"Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun.","Robert Downey Jr.,Terrence Howard,Jeff Bridges,Gwyneth Paltrow",
76,The Night Comes For Us,2018,91%,"A bloody thrill ride designed to test the limits of more squeamish viewers, The Night Comes for Us wields a stylishly violent, action-packed punch.","Joe Taslim,Iko Uwais,Julie Estelle,Sunny Pang",Timo Tjahjanto
77,Logan,2017,93%,"Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions.","Hugh Jackman,Patrick Stewart,Boyd Holbrook,Stephen Merchant",James Mangold
78,Goldfinger,1964,99%,"Goldfinger is where James Bond as we know him comes into focus - it features one of 007's most famous lines (""A martini. Shaken, not stirred"") and a wide range of gadgets that would become the series' trademark.","Sean Connery,Gert Fröbe,Honor Blackman,Shirley Eaton",Guy Hamilton
79,Assault on Precinct 13,1976,98%,"Lean, taut and compellingly gritty, John Carpenter's loose update of Rio Bravo ranks as a cult action classic and one of the filmmaker's best.","Austin Stoker,Darwin Joston,Gilbert De la Pena,Laurie Zimmer",John Carpenter
80,Wonder Woman,2017,93%,"Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion.","Gal Gadot,Chris Pine,Connie Nielsen,Robin Wright",Patty Jenkins
81,Fist of Fury (Jing wu men),1972,83%,No consensus yet.,"Bruce Lee,Miao Ker Hsiu,James Tien,Robert Baker",
82,Captain America: The Winter Soldier,2014,90%,"Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards.","Chris Evans,Samuel L. Jackson,Scarlett Johansson,Anthony Mackie",Joe Russo
83,Oldboy,2005,81%,"Violent and definitely not for the squeamish, Park Chan-Wook's visceral Oldboy is a strange, powerful tale of revenge.","Choi Min-sik,Gang Hye-jeong,Yoo Ji-tae,Gang Hye-jung",Park Chan-wook
84,The French Connection,1971,98%,"Realistic, fast-paced and uncommonly smart, The French Connection is bolstered by stellar performances by Gene Hackman and Roy Scheider, not to mention William Friedkin's thrilling production.","Gene Hackman,Fernando Rey,Roy Scheider,Marcel Bozzuffi",William Friedkin
85,Furious 7,2015,82%,"Serving up a fresh round of over-the-top thrills while adding unexpected dramatic heft, Furious 7 keeps the franchise moving in more ways than one.","Vin Diesel,Paul Walker,Jason Statham,Dwayne Johnson",James Wan
86,La Femme Nikita (Nikita),1990,89%,A zany out-of-control thriller that gives lead Anne Parillaud a big character arc and plenty of emotional room to work within.,"Tcheky Karyo,Anne Parillaud,Jeanne Moreau,Jean Reno",Luc Besson
